,name,age,lifestyle,zip code,family status,car,sports,earnings,living area,label,response
1104,j78Tnbwc,18,healthy,94140,single,practical,athletics,51360,urban,no response,0
1105,No7L4LvL,58,active,90231,single,expensive,athletics,80573,rural,response,1
1106,EWXHwJzv,23,cozily,21771,married,expensive,soccer,142379,urban,response,1
1107,DLNCzRMJ,49,healthy,33053,married,expensive,badminton,70549,urban,no response,0
1108,7NsIjxwb,55,healthy,24459,single,expensive,soccer,143960,urban,response,1
1109,NljplYcC,45,cozily,23004,single,practical,soccer,139238,rural,no response,0
1110,mQRmC815,15,healthy,33794,single,expensive,soccer,81544,urban,no response,0
1111,vYDa9DMl,49,cozily,50400,married,practical,soccer,68897,urban,no response,0
1112,2b6sVawH,41,active,40496,married,expensive,athletics,68099,rural,no response,0
1113,rDVD8Uim,26,healthy,25705,single,practical,badminton,33366,urban,no response,0
1114,3Ykogrbp,54,cozily,23548,single,expensive,badminton,89753,urban,no response,0
1115,z5Wm4Njx,17,active,72265,married,practical,badminton,135318,urban,no response,0
1116,4mVDvnQt,20,active,25246,single,expensive,badminton,117583,urban,no response,0
1117,tMcP5Jto,37,healthy,52374,single,practical,badminton,59837,rural,no response,0
1118,Dmm80VpF,67,cozily,38954,married,practical,badminton,100024,urban,response,1
1119,8kAo658F,67,active,16552,married,practical,athletics,67311,urban,response,1
1120,7PvrypiF,25,cozily,22341,single,expensive,unknown,124906,urban,no response,0
1121,CHTf7SWu,31,healthy,58417,married,practical,badminton,67941,rural,no response,0
1122,o6SCf5dX,38,cozily,36427,single,practical,soccer,138359,urban,no response,0
1123,vwDkE01L,36,cozily,57939,married,expensive,badminton,78433,rural,no response,0
1124,meUK4EwP,35,healthy,93326,married,practical,badminton,140815,urban,response,1
1125,ccYPUg47,19,active,13667,single,practical,athletics,41118,rural,response,1
1126,spCh3rlu,35,active,76765,single,expensive,badminton,130607,urban,no response,0
1127,VexAotFx,60,healthy,85207,single,expensive,badminton,148360,urban,response,1
1128,WOuV07l3,20,active,74110,married,practical,badminton,111099,urban,no response,0
1129,mVLIz0f7,32,healthy,20846,married,practical,unknown,138043,rural,no response,0
1130,I07L59c7,45,cozily,10031,married,expensive,badminton,35259,urban,response,1
1131,SNBzK1lm,67,healthy,24446,single,expensive,athletics,141370,urban,response,1
1132,illfgH5Y,56,cozily,65142,married,practical,soccer,105050,rural,response,1
1133,sv4P2ji8,62,cozily,94658,married,expensive,unknown,129110,rural,response,1
1134,y3P0vt0q,39,healthy,51178,married,expensive,unknown,84668,urban,no response,0
1135,j61SoUQq,16,active,55990,married,expensive,badminton,142620,urban,response,1
1136,Jxia9T4L,27,active,79880,single,practical,athletics,83724,urban,no response,0
1137,LatuuyO0,62,cozily,53347,married,expensive,athletics,35530,urban,no response,0
1138,9eNY7kU1,44,active,52608,married,expensive,unknown,85012,rural,no response,0
1139,qGra54rm,53,healthy,55833,single,practical,athletics,70050,rural,no response,0
1140,sovx6A8y,58,healthy,19051,married,expensive,athletics,95548,rural,response,1
1141,HOkho2pW,28,healthy,89915,married,expensive,athletics,53723,urban,no response,0
1142,MEfVMjBH,29,cozily,64597,married,expensive,soccer,136868,urban,no response,0
1143,WHfaokdd,24,healthy,96297,married,practical,athletics,114370,rural,no response,0
1144,kz5UiVnX,61,healthy,84189,single,expensive,badminton,38564,urban,response,1
1145,Hnf2c3Q5,62,active,10067,married,expensive,soccer,62480,urban,no response,0
1146,3fkXjYeD,36,active,38065,married,practical,badminton,68815,rural,no response,0
1147,YZT3OYjf,17,healthy,35534,single,expensive,soccer,95518,rural,no response,0
1148,wSVANZKg,28,healthy,61819,single,expensive,athletics,136911,rural,no response,0
1149,LdxIwRGZ,62,healthy,47358,single,expensive,athletics,108507,urban,no response,0
1150,qsik1CIN,55,healthy,86434,married,expensive,athletics,37264,rural,no response,0
1151,jqkKUGzX,41,active,83813,married,practical,badminton,110676,urban,response,1
1152,K9nCzqc6,66,active,85653,married,expensive,badminton,27083,urban,response,1
1153,uW4SioWX,31,active,24179,single,expensive,athletics,99457,urban,no response,0
1154,WqaqyrMq,62,cozily,32242,married,practical,badminton,55432,urban,response,1
1155,5htzuiRs,49,active,54540,married,practical,athletics,143734,rural,response,1
1156,fjBPnYvA,15,healthy,50708,married,expensive,badminton,115594,rural,no response,0
1157,GVUgMPPu,17,healthy,58500,single,practical,athletics,79177,urban,no response,0
1158,ouzXcNQc,59,cozily,98686,single,practical,athletics,113297,urban,response,1
1159,c9IxmeeH,26,cozily,39399,single,expensive,soccer,44236,urban,no response,0
1160,Jdtgl2ay,19,active,56820,single,practical,soccer,71422,urban,no response,0
1161,RdQoLzL1,37,active,27153,single,expensive,soccer,106515,rural,no response,0
1162,By4tbWHa,34,active,57408,single,expensive,athletics,132292,rural,no response,0
1163,IRku1GrP,15,cozily,27160,single,practical,badminton,135901,urban,no response,0
1164,o53pPxMU,24,active,91013,married,practical,soccer,124287,rural,no response,0
1165,7OotFn7k,57,healthy,87125,married,expensive,soccer,111039,rural,response,1
1166,3pwjlyOG,56,active,46471,married,practical,badminton,92109,rural,response,1
1167,KD8Q8gD1,28,healthy,10122,single,expensive,badminton,23524,urban,response,1
1168,z6ykN1bw,57,cozily,62120,single,practical,athletics,127893,urban,response,1
1169,kBZAWCjd,37,cozily,28104,married,practical,soccer,92055,urban,no response,0
1170,y4wJTvls,44,healthy,38491,married,practical,soccer,48989,urban,no response,0
1171,RiRCpzQw,63,cozily,56250,married,practical,athletics,66395,rural,response,1
1172,TiFIiu3z,26,active,61677,single,practical,soccer,44731,urban,no response,0
1173,2NGpwDxK,60,healthy,79610,married,practical,soccer,39454,urban,response,1
1174,JYJB5Uyk,38,active,47762,married,expensive,badminton,108578,urban,no response,0
1175,KXsEu0d9,46,healthy,47321,married,expensive,soccer,136545,rural,no response,0
1176,vlN4xKvx,60,cozily,59721,married,practical,athletics,112751,urban,response,1
1177,9Dykm9IO,36,active,81771,married,practical,athletics,46505,rural,no response,0
1178,Q5fBpcY7,32,cozily,13351,single,expensive,badminton,130615,urban,response,1
1179,VXZpaS9F,52,cozily,16757,single,practical,unknown,24680,urban,no response,0
1180,Ml0Dn4uE,42,cozily,36432,single,expensive,badminton,114061,urban,no response,0
1181,8Itr6TjF,59,active,21490,married,practical,unknown,106742,urban,no response,0
1182,Z75t5cnZ,37,cozily,92983,married,expensive,athletics,43684,rural,no response,0
1183,RuUAat5S,34,healthy,80722,married,expensive,athletics,55184,rural,no response,0
1184,8NAsjRvo,57,active,63533,married,practical,badminton,80930,urban,response,1
1185,0eKXwIkR,60,active,99176,married,expensive,athletics,129244,rural,no response,0
1186,9Y5yj7vY,19,healthy,98386,married,expensive,soccer,128709,urban,no response,0
1187,6Q3B5qzJ,63,cozily,47176,single,practical,unknown,50287,urban,response,1
1188,NSjc2Lrf,32,cozily,99342,married,practical,soccer,135879,urban,no response,0
1189,X7yXSYcN,35,active,86023,married,practical,athletics,85740,urban,no response,0
1190,cG47VmYY,43,cozily,89780,single,practical,unknown,44369,rural,no response,0
1191,Rfsr4pgI,24,healthy,14899,married,expensive,badminton,135599,urban,response,1
1192,vmMj0xHh,46,healthy,40765,single,practical,athletics,48436,urban,no response,0
1193,WuT7T394,35,active,21174,single,practical,soccer,79198,rural,no response,0
1194,TGOGYMH2,64,cozily,12917,single,expensive,badminton,138680,urban,response,1
1195,4zawE2I7,35,healthy,39672,married,expensive,soccer,30612,rural,no response,0
1196,hWo9ibTw,54,active,46424,single,expensive,unknown,34310,urban,no response,0
1197,zpnszNQj,29,healthy,12540,married,practical,badminton,43329,urban,response,1
1198,DdRR0ptK,25,active,80543,single,expensive,badminton,55314,urban,no response,0
1199,6dl0JbfX,27,active,46664,married,expensive,soccer,69555,urban,no response,0
1200,2pAN3Th4,52,active,76242,married,practical,badminton,65891,urban,no response,0
1201,2yr9uOMi,66,healthy,54280,single,expensive,soccer,55858,urban,response,1
1202,ug5FPHU9,38,active,21955,single,practical,soccer,31537,urban,no response,0
1203,LJzxBQJH,33,cozily,53557,married,expensive,soccer,97992,rural,no response,0
1204,WgfJYDJu,36,healthy,56129,married,practical,athletics,52549,rural,no response,0
1205,46Y8p1zA,52,active,88524,single,expensive,soccer,32997,rural,no response,0
1206,hCE5ngZJ,22,healthy,85158,single,expensive,soccer,58486,urban,no response,0
1207,HUBecRKL,27,cozily,32272,married,practical,soccer,132651,urban,no response,0
1208,6q4C9eZ8,31,cozily,88936,single,expensive,athletics,144504,rural,response,1
1209,MfuMQc4p,61,cozily,28862,married,practical,badminton,88450,urban,response,1
1210,r4fOvNnB,67,active,52312,married,practical,athletics,108104,urban,response,1
1211,LUpQYsJC,64,healthy,46041,single,expensive,athletics,25787,urban,no response,0
1212,p0TNhBll,21,healthy,63845,single,expensive,athletics,141884,urban,response,1
1213,J6kQ6hry,40,cozily,46234,married,expensive,athletics,91501,rural,no response,0
1214,3XaIFBX1,38,healthy,18229,married,expensive,unknown,148486,urban,response,1
1215,YWyerVZf,64,active,15229,single,practical,badminton,55026,urban,no response,0
1216,ynIJ4CAZ,21,cozily,53947,single,practical,badminton,117931,urban,no response,0
1217,LncSbdOQ,48,cozily,33220,single,practical,athletics,118173,urban,no response,0
1218,5el68cXg,45,cozily,50399,married,practical,athletics,95744,rural,no response,0
1219,AzqdABdp,32,cozily,84475,married,expensive,unknown,111011,urban,no response,0
1220,4b4hX2C3,35,cozily,11333,married,practical,athletics,91351,urban,response,1
1221,48i1uIDp,20,cozily,17645,single,expensive,badminton,58517,rural,no response,0
1222,cAfNcPaR,41,cozily,94028,single,expensive,badminton,47798,rural,no response,0
1223,9EVwDDrJ,30,active,44329,single,practical,badminton,91941,urban,no response,0
1224,AsqlfL6u,48,cozily,14845,married,expensive,badminton,119239,urban,response,1
1225,VzMHSJT0,48,active,55617,married,expensive,badminton,90935,urban,no response,0
1226,viDBnEjT,51,healthy,40344,married,practical,soccer,113307,urban,no response,0
1227,4HnlggEL,24,cozily,84605,married,practical,athletics,149172,rural,response,1
1228,eGuqykjS,66,active,85720,married,practical,badminton,120420,urban,no response,0
1229,cW5h5x64,64,cozily,10564,married,practical,athletics,84004,urban,no response,0
1230,3YEua6RT,58,cozily,39348,married,expensive,badminton,29575,urban,no response,0
1231,F6w8ZwWh,17,active,83179,single,expensive,athletics,103946,rural,no response,0
1232,4HOQ9oH6,30,healthy,27294,married,practical,athletics,23030,rural,no response,0
1233,e06FveeJ,35,active,70055,single,practical,unknown,48113,urban,no response,0
1234,hxCpMpg8,41,cozily,99041,single,expensive,athletics,54406,rural,no response,0
1235,4Uzc81QK,40,cozily,97046,married,practical,soccer,50278,rural,no response,0
1236,uFH3f7px,56,cozily,78733,married,expensive,athletics,108477,rural,response,1
1237,Fbj5OJ3Y,37,active,46722,married,expensive,unknown,92907,rural,no response,0
1238,bT6P794M,16,cozily,93339,single,expensive,badminton,129947,rural,no response,0
1239,UJp9HvP0,58,healthy,76144,single,expensive,unknown,77719,urban,response,1
1240,59YpGTul,17,healthy,45249,single,expensive,athletics,136326,urban,no response,0
1241,CK7m2I3M,51,cozily,30583,married,practical,athletics,74729,rural,response,1
1242,UYzyyj2f,69,cozily,31003,married,practical,badminton,58076,rural,response,1
1243,qrz56tWQ,65,healthy,61883,single,practical,soccer,130840,rural,response,1
1244,spmKIVQh,40,active,98804,married,practical,athletics,144745,rural,response,1
1245,KlSgrgWv,59,active,15904,single,practical,soccer,130488,urban,no response,0
1246,KH0Qzt5d,32,active,73481,single,expensive,athletics,96023,urban,no response,0
1247,Vx2CD9ZH,22,healthy,28409,single,practical,badminton,101854,rural,no response,0
1248,VtfbkuN3,56,cozily,34670,married,expensive,athletics,103582,rural,response,1
1249,cMgKXT3J,61,healthy,32730,single,practical,unknown,119212,urban,no response,0
1250,aGY10RGO,51,healthy,65232,married,expensive,athletics,62404,rural,no response,0
1251,xQczHuoP,41,active,60104,married,practical,athletics,49463,rural,no response,0
1252,lmr7sZED,59,cozily,23278,single,expensive,badminton,125753,rural,no response,0
1253,kDlGp7gV,45,healthy,70039,single,practical,athletics,43459,urban,no response,0
1254,iaOmc6np,68,cozily,83887,single,practical,soccer,45636,urban,response,1
1255,sK4LLmdg,17,active,84170,married,expensive,unknown,70692,rural,no response,0
1256,DQVElgEv,44,cozily,74556,married,practical,soccer,88173,rural,no response,0
1257,mAUOWlF9,25,active,33475,married,expensive,unknown,128327,urban,no response,0
1258,BvN12PLK,15,cozily,98972,single,practical,badminton,41884,rural,no response,0
1259,NYa7aeyG,64,active,45692,married,practical,soccer,24942,urban,response,1
1260,KedMRcog,66,active,74555,single,expensive,athletics,121212,urban,response,1
1261,qszANg6X,48,active,94655,single,practical,athletics,144562,urban,response,1
1262,SMFFQYUq,66,healthy,12590,married,practical,athletics,144017,urban,no response,0
1263,qy7zEcMP,42,active,28106,married,expensive,athletics,114831,urban,no response,0
1264,EKM6DJU4,20,healthy,33755,single,expensive,athletics,146942,urban,response,1
1265,jyibrEc0,58,active,72199,single,expensive,badminton,101034,rural,no response,0
1266,uMzqc2qQ,47,cozily,35126,single,practical,athletics,105094,rural,no response,0
1267,gIiIk3mZ,50,cozily,90343,single,practical,soccer,65276,urban,no response,0
1268,vTrGQiPn,33,cozily,33897,single,expensive,athletics,31453,urban,no response,0
1269,VYiG6Z4z,39,cozily,45503,married,expensive,badminton,139311,rural,no response,0
1270,ElHfje2Y,27,healthy,48068,married,practical,unknown,110195,urban,no response,0
1271,XoW5CUOt,34,cozily,54310,married,expensive,soccer,102037,rural,no response,0
1272,vfwapWAo,47,cozily,76698,single,expensive,athletics,92731,rural,no response,0
1273,v5QEFHCC,30,cozily,52670,single,practical,badminton,26055,rural,no response,0
1274,NgWmvgUK,51,healthy,52720,married,practical,badminton,112748,urban,no response,0
1275,CiGVrTpv,34,healthy,23840,single,practical,soccer,61754,rural,no response,0
1276,oGq9x1yF,20,healthy,35711,married,expensive,athletics,63071,urban,no response,0
1277,d0IQS941,16,active,35220,single,expensive,unknown,86221,rural,no response,0
1278,qS9bAiIZ,38,active,91817,single,expensive,soccer,53002,urban,no response,0
1279,tdyxshlD,21,healthy,38302,single,expensive,athletics,98234,rural,no response,0
1280,Iyyj9T7F,20,active,88123,married,practical,athletics,78518,urban,no response,0
1281,K0eqeV9k,55,healthy,75140,married,expensive,unknown,31116,urban,no response,0
1282,K0HhFcao,46,cozily,48982,married,practical,athletics,37830,urban,no response,0
1283,ozXnWYGk,25,active,18974,single,practical,badminton,55243,rural,no response,0
1284,JZdfb3uO,50,active,64469,single,expensive,athletics,72489,urban,no response,0
1285,OxfY48d4,50,cozily,97679,single,expensive,badminton,32021,urban,no response,0
1286,jlqfwswz,28,cozily,38595,single,expensive,soccer,32393,urban,no response,0
1287,Ec9EWejn,47,active,11810,single,expensive,unknown,118473,urban,response,1
1288,SOK5TL3T,23,cozily,90422,married,practical,soccer,142959,urban,response,1
1289,otlx9oRn,32,active,21043,single,practical,soccer,62554,urban,no response,0
1290,1YIodrVD,19,active,22401,married,expensive,soccer,137365,rural,no response,0
1291,IHiMdWrw,57,healthy,23817,single,practical,athletics,25570,urban,response,1
1292,c5xohvwS,41,active,62786,married,expensive,athletics,103475,rural,no response,0
1293,8JrekVdO,39,cozily,28146,single,practical,unknown,88753,urban,response,1
1294,wdXVfKcz,38,cozily,34676,married,practical,soccer,131807,urban,no response,0
1295,E9T2Nynk,65,cozily,84576,single,practical,badminton,22653,urban,response,1
1296,DaVNilFC,52,healthy,19613,married,expensive,unknown,132686,urban,no response,0
1297,3tA2rix8,26,active,54414,single,expensive,athletics,22140,rural,no response,0
1298,XJzGsZ2n,48,cozily,70012,single,expensive,badminton,27401,urban,response,1
1299,TUIx16TL,24,healthy,41886,married,expensive,soccer,83160,urban,no response,0
1300,esDvDljB,30,active,30641,married,expensive,soccer,31565,rural,no response,0
1301,GynNQAJh,33,healthy,81290,married,practical,athletics,116121,urban,no response,0
1302,9VRlM2DU,42,active,88346,single,expensive,soccer,122143,rural,no response,0
1303,Dls9ffM0,20,cozily,91083,married,practical,unknown,25968,urban,no response,0
1304,1ufKtMo8,42,active,57461,single,expensive,athletics,21091,urban,no response,0
1305,1nED3Ozs,43,active,16679,married,practical,badminton,91013,rural,no response,0
1306,KTYKOHsv,68,healthy,29045,single,practical,athletics,82488,urban,response,1
1307,RwW8KpcI,55,active,76717,married,practical,soccer,33198,rural,no response,0
1308,0AgdSgnb,50,cozily,52702,married,expensive,athletics,41436,urban,no response,0
1309,XM1xHVvB,63,healthy,55337,married,practical,badminton,60199,rural,response,1
1310,yCbXZkAb,55,active,26305,single,practical,badminton,65732,rural,no response,0
1311,nxDork08,58,cozily,50427,married,practical,badminton,57377,rural,no response,0
1312,GuhwZ8Ke,53,active,98576,married,practical,soccer,88627,rural,no response,0
1313,vh1XzmtS,15,cozily,73016,single,practical,unknown,60763,rural,no response,0
1314,sks0Eusw,46,active,93982,single,expensive,soccer,105449,urban,no response,0
1315,1X2vgK50,62,healthy,73141,single,practical,badminton,76131,urban,response,1
1316,hDOqqABO,61,active,71175,single,expensive,athletics,44965,urban,response,1
1317,REB30dZh,25,active,45089,single,practical,soccer,33644,rural,no response,0
1318,VU5QamW7,17,active,96379,married,expensive,soccer,22019,urban,no response,0
1319,KesMe3KU,37,active,50546,married,practical,unknown,42942,urban,no response,0
1320,QEjgtZwD,62,healthy,82538,married,practical,badminton,116435,rural,no response,0
1321,9u1a7xnt,23,active,62495,single,practical,athletics,69108,rural,no response,0
1322,bDm84Qvn,16,active,98718,single,expensive,athletics,130176,rural,no response,0
1323,QYpSFOnB,43,healthy,12016,single,practical,unknown,108709,urban,response,1
1324,E1FNWldp,64,active,59508,single,practical,soccer,89267,rural,no response,0
1325,gxb2wP79,34,cozily,15309,single,expensive,athletics,97139,rural,no response,0
1326,yiiuvIiz,63,active,19538,married,practical,badminton,132415,urban,response,1
1327,LSGXgHXU,63,cozily,12117,married,practical,athletics,131477,urban,response,1
1328,1UYkvGVV,50,healthy,14448,single,expensive,soccer,91751,rural,response,1
1329,8b75BFuM,69,cozily,45521,married,practical,badminton,103567,urban,response,1
1330,xWi3D0Yp,34,active,14418,single,practical,athletics,130524,urban,response,1
1331,TiDvA10Q,30,cozily,35056,single,expensive,athletics,87709,urban,no response,0
1332,3upqzSAB,16,cozily,27025,single,practical,soccer,35604,rural,no response,0
1333,PAo7YEx8,16,active,30663,married,practical,badminton,62117,urban,no response,0
1334,ouFkw5Nf,28,active,79862,single,practical,athletics,73794,urban,no response,0
1335,KE6pAoB1,48,healthy,80098,married,practical,badminton,99324,urban,no response,0
1336,TNNm4KWQ,33,cozily,79972,married,expensive,badminton,124431,urban,no response,0
1337,v8NddFKF,49,healthy,13124,married,practical,athletics,139752,urban,response,1
1338,3EuyFp9n,67,cozily,47422,single,practical,soccer,86742,urban,no response,0
1339,U2ho3a9C,38,healthy,79765,married,expensive,badminton,70408,urban,no response,0
1340,Ha2vaMxI,29,healthy,43721,married,expensive,athletics,121570,urban,no response,0
1341,ABRNqT65,49,cozily,78101,married,practical,soccer,54549,urban,no response,0
1342,QWWuuDep,26,cozily,32962,single,expensive,athletics,68385,urban,no response,0
1343,x7FbKnTg,55,active,95023,single,practical,soccer,87478,urban,no response,0
1344,BDJwVtKh,25,cozily,69693,married,expensive,athletics,89465,urban,no response,0
1345,t3W9FrsL,35,active,80008,married,practical,athletics,123055,rural,no response,0
1346,yVougwr9,25,active,27673,married,expensive,athletics,31627,urban,no response,0
1347,vtWeGrEm,61,healthy,48890,single,expensive,athletics,117253,rural,response,1
1348,vKKCfIMJ,51,cozily,62557,married,practical,soccer,49115,urban,no response,0
1349,gExkFDCN,45,healthy,46094,married,expensive,badminton,123095,urban,no response,0
1350,mw2d9ZE2,19,cozily,34409,single,expensive,badminton,35952,urban,no response,0
1351,PXAXbHnL,28,cozily,19144,single,practical,soccer,43333,urban,no response,0
1352,KCSRMCNA,55,active,64136,single,expensive,badminton,36268,rural,no response,0
1353,OTnDtzBz,60,cozily,92045,single,expensive,soccer,134360,rural,response,1
1354,gwxwvqC7,30,cozily,71627,married,practical,athletics,66446,urban,no response,0
1355,y3GidTR9,15,healthy,90175,married,expensive,badminton,36244,urban,no response,0
1356,SN3CANaY,33,cozily,17658,married,expensive,badminton,28341,urban,no response,0
1357,oAHUIXRh,29,healthy,70508,married,expensive,soccer,36394,urban,response,1
1358,Aj6QnCv3,16,cozily,62518,single,expensive,athletics,91745,rural,no response,0
1359,2aUzyU4U,28,healthy,27492,married,expensive,athletics,84300,urban,no response,0
1360,3dCJz0Uj,69,healthy,92867,married,practical,badminton,125476,rural,response,1
1361,ntCrJpKI,20,active,74022,married,expensive,badminton,41680,urban,no response,0
1362,i91JvXxv,54,cozily,19294,single,expensive,athletics,93330,rural,no response,0
1363,RIWcjXUs,27,active,77873,married,expensive,unknown,49397,urban,no response,0
1364,xc3lSLP1,16,healthy,99753,single,practical,soccer,64110,urban,no response,0
1365,WC51TaMa,33,cozily,26979,single,practical,soccer,44999,urban,no response,0
1366,AOhviS0E,48,active,64483,married,practical,badminton,95539,rural,no response,0
1367,hCN8nxgA,64,active,20257,married,practical,unknown,132464,urban,response,1
1368,shQHY23m,28,cozily,57613,married,practical,soccer,140580,urban,response,1
1369,EncB4oVP,50,cozily,38607,married,expensive,soccer,34792,urban,no response,0
1370,vfJaSrjH,19,cozily,96251,married,expensive,badminton,91796,rural,no response,0
1371,YKUbxfqZ,39,cozily,53707,married,expensive,soccer,126745,urban,no response,0
1372,jehxTZpX,59,active,91268,single,expensive,badminton,88370,urban,no response,0
1373,xJkQAzvd,24,cozily,37877,married,expensive,soccer,122797,urban,no response,0
1374,iYcGw6ID,34,healthy,50349,single,practical,soccer,146182,urban,response,1
1375,GLbQUSEL,54,healthy,69570,married,practical,soccer,39647,urban,no response,0
1376,ZsQ1Bl3j,24,active,48713,single,practical,soccer,24385,urban,no response,0
1377,3qB6Muvu,55,cozily,99943,single,expensive,badminton,104049,urban,no response,0
1378,5DdULGep,63,cozily,62378,single,practical,soccer,23695,urban,response,1
1379,3qTgGA9i,56,healthy,72550,single,practical,soccer,34284,urban,no response,0
1380,ARHb397L,65,healthy,22135,married,practical,soccer,46840,urban,response,1
1381,mctGZilg,43,healthy,72238,married,expensive,athletics,60582,urban,no response,0
1382,1URZ0GUI,49,cozily,77488,married,practical,badminton,124059,rural,no response,0
1383,yk2fCCBO,23,cozily,47687,single,expensive,badminton,27616,urban,no response,0
1384,I36ZbWHx,55,active,36639,single,expensive,athletics,90050,rural,no response,0
1385,ePyVY5AM,27,healthy,63394,single,practical,athletics,27348,urban,no response,0
1386,yNAFpHQA,17,cozily,52259,single,expensive,badminton,38491,urban,no response,0
1387,2HwI1OoE,38,cozily,94173,single,practical,badminton,35912,urban,no response,0
1388,peaAX3mE,60,healthy,86377,single,expensive,athletics,135443,urban,no response,0
1389,J0N9H13v,60,healthy,28491,single,expensive,athletics,113583,rural,response,1
1390,Clt3CZ17,44,active,74736,single,practical,unknown,36763,urban,no response,0
1391,RFDNgwhu,29,active,41101,single,practical,soccer,53002,rural,no response,0
1392,YbEgGb5S,47,cozily,60551,married,expensive,badminton,54556,rural,no response,0
1393,ErLjzqt3,61,healthy,90866,single,expensive,badminton,53886,urban,response,1
1394,65usIk9s,36,healthy,39828,married,expensive,athletics,42058,urban,no response,0
1395,MX37HTKE,65,active,66669,single,practical,badminton,148922,urban,no response,0
1396,IKXWuhVA,60,active,10848,married,practical,athletics,109753,urban,response,1
1397,oScvFWaU,16,healthy,29055,single,practical,soccer,115370,rural,no response,0
1398,fOzTCwrS,29,cozily,84270,single,practical,soccer,58141,rural,no response,0
1399,52rBuUd4,24,cozily,19533,married,practical,soccer,127842,urban,no response,0
1400,7fo2QE4F,39,cozily,91597,married,practical,badminton,88566,rural,no response,0
1401,PKfM8yeo,33,active,53910,single,expensive,soccer,50646,urban,no response,0
1402,oQDo49Sr,21,active,63462,single,expensive,athletics,114834,rural,no response,0
1403,o3sZrx4A,16,active,68917,single,expensive,badminton,38743,urban,no response,0
1404,WLrFlSXB,19,active,19993,married,expensive,unknown,121069,rural,no response,0
1405,mBayIPcI,35,healthy,13398,single,expensive,soccer,67398,urban,response,1
1406,oQuXvlse,35,healthy,34811,single,practical,unknown,68000,rural,response,1
1407,qaERDqEM,41,cozily,92874,married,practical,badminton,25973,rural,no response,0
1408,sQPo08Wk,24,active,86156,single,practical,badminton,32446,urban,response,1
1409,YTCxb5Os,26,healthy,25239,married,practical,soccer,29632,urban,no response,0
1410,fLxLuf5h,40,cozily,48790,married,practical,athletics,118980,rural,no response,0
1411,4pOItxQK,21,cozily,44203,married,practical,unknown,101249,urban,no response,0
1412,3tF3Xkdu,45,active,19994,married,expensive,unknown,36935,urban,no response,0
1413,bwpX0Fvg,38,cozily,97686,married,expensive,badminton,120647,rural,no response,0
1414,zGxMqDgT,57,cozily,32282,single,expensive,soccer,117055,urban,response,1
1415,xpuKVrrQ,50,active,99751,single,practical,unknown,20173,urban,no response,0
1416,1uWcNkr9,32,healthy,42650,married,practical,unknown,92549,rural,no response,0
1417,jFCaRHAG,17,active,61191,married,practical,soccer,115309,rural,no response,0
1418,vAzca1K3,28,healthy,26008,single,practical,athletics,66617,rural,no response,0
1419,KE8YDfsZ,67,healthy,19608,married,practical,soccer,92013,urban,response,1
1420,Pu5Z89Hm,52,cozily,96478,single,expensive,badminton,29959,rural,no response,0
1421,t7s3DQRt,69,healthy,78470,married,expensive,soccer,99497,urban,response,1
1422,bXYUZB1E,38,healthy,99084,single,practical,athletics,64576,rural,no response,0
1423,OLuC13Fh,54,active,26874,single,practical,soccer,116566,urban,no response,0
1424,dPHWnU28,38,healthy,42899,married,practical,badminton,108451,urban,no response,0
1425,E6PbH240,61,healthy,85869,married,expensive,athletics,137116,urban,response,1
1426,SLZ8wNEY,21,healthy,11835,married,practical,soccer,59059,urban,response,1
1427,KXh2rwb5,45,cozily,41869,married,expensive,unknown,67299,urban,no response,0
1428,mIDGQEhR,51,healthy,73054,single,practical,athletics,59340,urban,no response,0
1429,K8ze9mZV,67,healthy,22216,single,practical,soccer,137152,rural,response,1
1430,kzdamFsk,57,active,64799,married,practical,badminton,145378,urban,response,1
1431,dNhLfUSP,49,active,43857,married,expensive,badminton,138402,urban,no response,0
1432,pG4Gu9Fh,45,cozily,89970,married,expensive,badminton,118954,urban,no response,0
1433,goSnhasS,41,cozily,75255,single,expensive,badminton,37657,urban,no response,0
1434,qjvCQ7tQ,17,cozily,48074,single,expensive,unknown,145304,urban,response,1
1435,Va0MdxL6,32,healthy,42045,married,expensive,unknown,114230,urban,no response,0
1436,D7QACxAs,56,healthy,69939,married,expensive,badminton,25120,rural,response,1
1437,kC6415B9,69,cozily,54912,single,practical,athletics,149575,urban,response,1
1438,yDAatsTd,64,cozily,33482,married,expensive,unknown,96630,urban,response,1
1439,om0AhYnz,50,active,15759,married,expensive,badminton,108473,urban,no response,0
1440,io6Rpj5J,15,cozily,56371,married,practical,soccer,105975,urban,no response,0
1441,pNhpEBN2,67,active,88313,single,expensive,athletics,120762,rural,response,1
1442,pUEa7BBi,59,active,86625,single,practical,soccer,29383,urban,response,1
1443,NW7jT3Iz,26,active,56196,married,practical,badminton,91118,urban,no response,0
1444,q349XjwT,19,healthy,75307,single,expensive,soccer,62525,rural,no response,0
1445,JNGcThXa,25,healthy,51569,married,expensive,unknown,138830,urban,no response,0
1446,IhjyrGrY,18,healthy,27953,married,expensive,badminton,114461,rural,no response,0
1447,pBORh7Q6,57,cozily,42971,married,practical,athletics,135646,urban,no response,0
1448,yEGl9fya,40,cozily,78017,single,practical,badminton,88740,urban,no response,0
1449,VMZD9vU6,51,healthy,97900,single,expensive,athletics,120268,rural,no response,0
